movie,sentence,score
모가디슈,지금도 끝나지 않는 전쟁과 분열 갈등 안에서민족애와 생존본능에 대한 다큐같은 영화남편이랑 마지막 휴가에 탁월한 선택이었고시원한 영화였음조인성연기 오랜만이라 더 좋았음김윤식의 명품연기도 좋았고 ,10
모가디슈,"감동과 재미,뒤돌아 보지 못하는 마지막 장면에서 눈물이.... ",10
알라딘,미장셴 극최상. 정말 의상 소품색감 하나하나 신경썼다는게 느껴짐.  본인 미대출신.. 근데 진짜 잘썼다고 감탄이 나올정도.그냥 한마디로 축약하자면.. 윌스미스가 멱살캐리 ,10
황해,허무하게도 승자는 아무도 없다. ,7
모가디슈,조인성 보러가서 좋았는  데 구교환  연기력도 넘 좋았어요 ~  짱!!! ,10
블랙 위도우,"연출로 초반 ost와 함께 블랙위도우 양산소 부분이 좋고, 후반 공중액션신도 좋았음 블랙위도우를 깔끔하게 바통터치하는 느낌 까진 좋았는데 캐릭터들이 살짝 아쉬움 ",7
엽문4: 더 파이널,점점 중국 중화사상 국뽕 영화로... ,6
클로버필드 10번지,끝나는 순간까지 반전에 반전을 거듭하는 최고의 영화다 ,10
모가디슈,와 진짜 알바들 무섭다. 뻔한스토리에 진부한 결말. 억지 전개 등 최악이었다. ,2
모가디슈,"처음에는 긴박한 클라이맥스를 향해가는 서사부의 느릿함이라 생각했으나, 계속되는 의미없는 총소리와 총알 1,000발을 맞아도 멀쩡한 자동차를 보며 흥미를 잃어버렸다. 그리고 남과 북의 화합이라는 뻔하디 뻔한 스토리 전개는 나의 무료함을 자아냈다. 볼 것이라고는 조인성 얼굴 하나였다. ",2
감쪽같은 그녀,억지감동 억지사투리 억지웃음 배우들 연기력만 아까움 ,1
모가디슈,재밌었어요~ 오랜만에 영화 재밋게본거같네요 ,10
더 수어사이드 스쿼드,전체적으로 만족스러웠으나 굳이 청불로 만들면서까지 잔인하게 연출했어야 했는지는 조금 의문. 스토리는 유치한데 유혈낭자하니까 언매칭에서 오는 재미가 있기는 하지만 제임스 건은 <가오갤>시리즈때 연출이 더 좋았다고 생각함. ,8
신 고질라,고질라 액션이 너무 부자연스러움 정치지판이고 나발이고 흡입력있지도 않고 이영화는 괴수 영화임 메임을 OOO기 OO이 만들었음 콩 고질라 를 한번 더보겠음 다시한번 말하지만 이영화눈 OOO기 영화임 ,2
모가디슈,소말리아 영화를 오로지 '블랙 호크 다운'만 알고 있는 이들이라면 이 영화는 '블랙 호크 다운' 프리퀼로도 손색 없는 작품임. 할리우드식 액션보다 더 생생한 전쟁에 대한 두려움과 그 속에서 피어나는 인간애를 경험할 수 있음. 보고나서도 오랫동안 잔상이 남는 영화! 역시 류승완 감독이다. ,8
방법: 재차의,좀 오글거리지만 긴장감있고 재밌었어요 (드라마는 안봄) ,10
모가디슈,남!자의 자존심   페!ㅐ션 센스도 갖춘  미!친존재감 ㅈㅁㅅ ,1
모가디슈,담담하게 그려낸 남북관계의 모습을 통해 여러모로 많은 생각이 들었습니다. ,10
비바리움,소름돋는 영화 오랫만...새로운 느낌 스토리가 맘에 든다. ,10
모가디슈,요근래 본 영화 중에 제일 재밌었음 ,10
"그 시절, 우리가 좋아했던 소녀",<너의 결혼식>원본. 성격차이로 이혼하는 것보다는 현명한 거 아냐?OST가 좋아.. ,7
콰이어트 플레이스 2,보통 영화보다 잠드는데 끝까지다봤음 아역포함 배우들 연기도 훌륭했음 마지막장면에 성장하는 아이들이 어른을 지켜주는 모습에 3탄이 기다려짐 ,10
크루엘라,"연기 좋고 볼거리 있는데, 스토리가 좀 약한듯. ",8
모가디슈,오랫만에  잘 짜여진 구성과  모든 배우들의 훌륭한 연기력( 심지어 아프리카배우들도 꽤 괜찮았다 !!외국배우들이 어색한 연기를 펼치면 몰입도가 떨어지는데 )이 잘 뒷받침되고 내전상황의 긴박함이 보는내내 심장이 쫄깃했던!! 꼭 극장에서 보세요 강추!! ,10
원스 어폰 어 타임... 인 할리우드,그냥 보면 뭔가 싶지만 감상 후 실제로 있었던 샤론 테이트 살인사건과 미국의 69년의 사회분위기에 대해서 약간 알 필요가 있는것같다. 그리고 브래드 피트는 진짜 너무 멋있다. ,9
더 수어사이드 스쿼드,OST가 가오갤 감성이라 맘에 듬 초반 해안가에서 OST 가사가 그들의 결말을 예견하고 마고로비 액션은 블위보다 좋았음 수어사이드에 가장 잘 어울리는 멤버는 피스메이커 같음 ,8
블랙 위도우,스칼렛요한슨을 보냅니다..즐거웠어요 ,7
쇼생크 탈출,이 영화를 아직도 안봤다면 어디가서 영화를 봤다고 하지마세요내 인생 최고의 영화라고 자부합니다 ,10
밥정,산골에 사시는 할머니 할아버지 처럼 나도 겸허히 내 삶을 받아들이고 살아 갔으면 좋겠다 인생의 참뜻을 일깨워주는 참된 영화인것 같다 ,10
마르셀의 추억,내 인생 최애작품 인것 같습니다너무 좋았던 작품입니다 ,10
모가디슈,야 간첩 4명 나왔댄다. 북한 손잡는 영화 그만찍고 반공영화나 쳐만들어 ,1
모가디슈,디렉팅 연기 다 좋았음. 구질구질한 신파가 없어서 보기 편했음. ,8
랑종,"영화를 색안경을 안 끼고, 영화 그 자체로 보니 괜찮은 영화입니다. 얼마나 똥 하나 묻은거 없이 깨끗한 사람들이기에, 여러 커뮤 네티즌의 다양한 평가들 중에 다 싫어도 여성배우 연기력만 칭찬하는 부분들 및 페미성향 비평글이 많은걸 보고 알았습니다. 비난을 위한 pc적 비평으로만 영화를 보지 않으면 참 재밌다고 생각하는 영화입니다. ",10
모가디슈,"기대보다 재미있었고, 실화 바탕이라 더 몰입해서 봤습니다. ",10
언더 워터,에어컨 꺼도 쿨파워 튼 것 처럼 등골이 서늘했다.완전 스릴러의 원조같은 원조아닌 영화네ㅋ ,10
모가디슈,걍 존잼이야.. 꼭 보세요 ,10
모가디슈,깻잎을 먹을깨 이해하고 도와주듯이 남북이 손잡으면 못할게 없어여 ,10
모가디슈,"스토리는 예상가능한 뻔한 내용이지만 몰입감 좋고 연기, 연출 좋아 재미있게 봤네요.간만에 극장가서 볼만한 영화입니다. ",10
더 수어사이드 스쿼드,블랙위도우보단 재미 없고..그냥 저냥 볼만합니다.. ,8
새콤달콤,배우들의 연기가 좋았습니다. 채수빈 초반 능청스러운 연기 굿굿 ,10
모가디슈,오랜만에 너무 재밌게 본 영화 .. 액션 싫어하는데 유일하게 재밌게 봤습니다 ,10
내 손을 잡아,박시은 연기 잘하네...ㅎㅎ ,6
어벤져스,"재미있는 영화, 사랑받는 영화들의모든 요소를 갖춘 마블의 첫번째 종합 선물셋트 ! ",8
에이리언: 커버넌트,프로메테우스 후속 닥터쇼와 데이빗의 엔지니어를 만나러 가는 여정을 기대한 사람들에겐 똥이다 이건. ,1
모가디슈,상당히 몰입감 높게 봤지만 개연성은 좀 떨어지는 듯 ,6
모가디슈,"중,고등학생 아들들과 재미있게 잘보았습니다.감동실화 ",10
더 수어사이드 스쿼드,"대사로 웃기는데엔 감독이 소질 없는듯 하고, 행동으로 웃기는건 봐줄만 했다. 그냥 한껏 분위기 다 잡아놓고 느금마사 했던 영화 보단 훨씬 보기 편했다. 매우 알록달록한 잔인함이 참 내 취향이었어. ",10
모가디슈,배우들 고생 참 많이 했겠다 싶음.  신파가 없어서 좋았다  저도 한표 드립니다 ,8
CCTV,곽도원 믿고 봤는데 독립영화인줄 몰랐네..  반전이 없었으면 엉망이 될뻘한 스토리 ,6
굿바이 싱글,있지도 않은 갈등 해결하는 걸 가르치겠다는 식. 그림 그리러 들어가지 못하게 막는 데에서 황당하고 웃겨서 참.. 이런 걸 지 혼자 쉐도우 복싱이라고 하든가. ,1
좀비파이터,독립영화인걸 감안하고 봐야..  약간 지루함 ,4
모가디슈,도대체 북한은 맨날 왜 쳐엮는건지... ,5
리얼 스틸,너무 재밌어요 2기대해여 ,10
블랙 위도우,마블빠가 봐도 빻았어 진짜라구 ,1
더 수어사이드 스쿼드,음… 영화관에서 보는데 이상하게 전체적으로 장면들이 다 어두워서.. 보기 불편했어요.. 어떤 때는 인물의 얼굴을 알아보기도 힘들고 이게 낮인지 밤인지 구분이 안가더라구요.. 아 참고로 영화 보다가 제 옆자리에서 보신 분은 주무시더라구요? (보시려면 참조..) 그냥 중간에 가시는 분들은 또 처음이라.. ,5
모가디슈,오랜만에 감동적인 영화를 만났어요 코로나가 어서끝나고 많은 분들이 함께 보면 좋을 영화 ,10
더 수어사이드 스쿼드,피튀기냐?yes 야하냐?yes 뽕빨이냐?yes ,10
블랙 위도우,블랙위도우 2 가쟈 !!! ,10
더 수어사이드 스쿼드,귀여운 상어의 먹방 그리고 개그는 취향차이(호불호심하게갈림)지만 액션은 볼만합니다 ,10
모가디슈,애들이 총쏘면서 웃는장면 너무 충격이네요 ~배우들의 연기에 빠져들다보니 시간가는줄 몰랐네요 ~ ,10
극장판 도라에몽: 진구의 신공룡,"아들이랑 같이 가서봤는데, 제가 울었네요;;; 감동적이였어요 ㅎㅎ 재미있고 ㅎㅎ 공룡도 귀엽고 ",10
이웃집에 신이 산다,오 마이 지저스 크라이스트 ,9
뱀파이어 아카데미,연출부터 연기까지 너무 재밌게 본 영화로 뱀파이어 내용 중 트와일라잇 다음으로 꿀잼 ,10
플립,ㅜㅜ 너무 감동적인 영화 울었어요 첫사랑이 생각나고 학창시절도 생각나고 .. ,10
나만 보이니,연출은 조금 아쉽지만 각 배우들 연기좋음. ,10
크루엘라,전체적으로 스토리 재미있고 좋네요. 네이버 영화로 다운 받아서 봤습니다. 추천합니다. ,10
트라이앵글,무한 루프 영화중에 최고 같음. 맨 처음 여주 등장 연기에 답답함이 컸는데 그 이유가 뒤에 밝혀지니 꾹 참고 보시면 됩니다. 그리스신화도 잘 맞고 정말 시간 순삭 재밌게봤어요 ,10
모가디슈,오랫만에 재미있게 상영했네요. ,10
고지전,다시봐도 명작이다. 신하균 같은 애들 군대가면 개 많음 ,10
감시자들,볼 게 없어서 채널 돌리다가  EBS  이 영화보고 밤 늦게까지 재미있게 봤습니다. 10점 만점에 10점! ,10
모가디슈,모르겠습니다. 초반에 긴호흡들 지루했으며깨알재미마저 거의없어서 이건 진짜 다큐스러운영화라고 말할수있습니다. 그나마 마지막에 차추격씬과 남북헤어질때 감정처리정도는 신파없이 끝내서 깔끔했네요. 전 그다지정도의 영화였습니다 ,6
모가디슈,"기대 안했는데,, 배우분들 연기는 물론 연출 장난아니에요ㅠㅠ ",10
모가디슈,다들 액션보러 가는 거잖아요 ㅎㅎ ,8
새콤달콤,재밌게보았습니다 ㄹㅎㅎ ,8
타짜,최고의 영화. 234찍을때마다 1편이 더욱 돋보이는 영화 ,10
모가디슈,"힘을 뺀 김윤석의 연기는 재미가 없었고, 조인성 특유의 고함 연기는 늘 똑같았다. 어설프게 구성한 에피소드로는 남북 관계의 유대감을 통해 관객의 공감을 얻어내기엔 많이 부족하다. ",5
모가디슈,스토리가 탄탄해 보기좋았습니다 ,10
모가디슈,"와 글로벌리 흥행하면 좋겠다는 생각과 그만큼 완성도 높은 영화인 것 같아요. 조주연 배우는 물론이고 외국배우들도 열연하는 , 연출과 디렉팅의 정수를 느꼈습니다. 신파없이 잔잔하고 진하게 밀려오는 감동도 일품!! ",10
이스케이프 룸 2: 노 웨이 아웃,상상할 수 없을 정도로 재미있었다 ,10
모가디슈,"영화 홍보 프로그램에서 중반부까지 소개가 다 되어 스토리가 뻔하다. 억지 감동은 없으나 남북관계의 설정상 어쩔 수 없는 오글거림이 가미되어 있고 류승완 감독의 액션을 기대하기에는 부족하다. 류승완 감독은 잘하는게 있는데 왜 자꾸 한눈을 파는지... 아라한장풍대작전, 부당거래, 베테랑 등 류승완 특유의 영화가 그립다. ",6
모가디슈,오랜만에  영화 즐겁게  봤어요감동도있고 긴장감도 있고  연기력은 덤 ,10
테넷,"그냥그럼; 아이디어는 참신 했으나, 편집은 이상하게 해서 자세히 묘사해야 할 부분은 빨리 지나가 버려 이해 어렵게 만들고.. 설정도 오류투성이, =  그들만의 영화 ",6
더 수어사이드 스쿼드,킬링타임용으로 잼게봤어요 중간에 쪼금 지루하긴함 ,8
극락도 살인사건,나름 준수한 스릴러.. ,6
더 수어사이드 스쿼드,그냥 아무생각없이 보는 영화 ㅋㅋ ,6
모가디슈,억지로 즙짜는 장면없이 담백한 진행에 시원한 액션까지 ,10
모가디슈,실화를 바탕으로 해서 나름 잘 만든 영화.. ,8
음란서생,"그냥그럼.,.,., ",2
모가디슈,한국영화 진짜 허접...경비가 몇 명 되지도 않는데 반공이 못들어와?어설픈 자동차씬하며...한국영화는 참 수준이 떨어지는건 확실 ,2
모가디슈,조인성이 감초로 나오다니 ㅋㅋ ,10
모가디슈,믿고보는 류승완흥미딘딘했으 ,10
더 수어사이드 스쿼드,"영화 스토리 별로재미 없고, 코미디 영화이나 그닥.... 영화 액션보다는 잔인한 장면만 많아서 볼많하지는 않아요 ",2
모가디슈,외국인 배우들의 연기도 돋보였음아이들이 다치거나 죽거나 총이 장난감이 되었을 때 마음아팠음전쟁의 무서움을 잘 나타냄 ,10
블랙 위도우,무난하다... ,7
더 수어사이드 스쿼드,보다 어쩔 수 없이 잠들었다. ,2
황해,하정우 김윤식의 연기는 그야말로 현지인 그 자체  스토리도 탄탄하고 몰입도가 장난아니다 세번봐도 재미있었다 ,10
모가디슈,김윤식 + 조인성 음...뭐지 했다가 류승완 감독!이면 극장가서 봐야죠 돈값합니다 ,10
더 수어사이드 스쿼드,내용 점점 산으로감 할리퀸은 이쁨 ,1
포레스트 검프,우리의 사는 모든 순간을 놓치지 말자.^^ 애플 ,10
"그 시절, 우리가 좋아했던 소녀",첫사랑의 추억이 새록새록~감동이였어요 ,10
수어사이드 스쿼드,이 좋은 배우들을 데리고 개망작을 만들다니... ,1
블러드 레드 스카이,"모성애를 쥐어짜긴하는데, 내용이.. 읭? 갑자기? 또 갑자기? 자연스럽지못한 뜬금없는 전개. 보고나서 리뷰보는데 아 역시 보는눈은 다 비슷하구나아역이 너무 처음부터끝까지 고구마백개 캐릭터,사건의발단도 중간중간 반전을노린듯한 행동들도라스트에서 반전을노렸지만 답답스러운 저정도면 큰아인데 유아틱한 행동과말들;  캐릭터들도 확실한 정체성이없이 뜨뜨미지근한 느낌에, 몰입이 되다 깨지다 되다 깨지다 반복하다끝. ",4
발신제한,영화레트리뷰션 : 응징의날2016년에 나온 영화랑 하너도 다를게 없는 한국판이네요.... 스토리며 다 같은데 주연배우가 캐리함... ,6
모가디슈,너무 재밌었어요 잘만든 영화 ,10
모가디슈,꼴페미 정만식에 1점을 드림 ,1
모가디슈,실제로 보면 잘만든 영화다..  병따 정치충 놈들이 북한나오니 보지도 않고 악플만 쳐 하는데 영화를 쳐봐라.. 남북화합이나 한민족 같은 그런 내용이 아니다 븅들아... 인간으로써 살기 위한 여정이고 당시 현실에 대한 안타까움만 맴도는 영화다... 영화 보지도 않는 키보드 워리어들아 좀 꺼져라 ,8
콘스탄틴,역사상 가장 이해하기 쉬운 성서영화 ,10
목소리의 형태,마음아픈 영화 자꾸 생각나는 영화 ,10
모가디슈,만식공주 최고임 !!!! ,10
악마를 보았다,최고라고생각합니다 국민살인마 최민식배우님 존경합니다 ,10
더 수어사이드 스쿼드,"기대 없이 봤는데.. 일단 연출 미쳤구요, 캐릭터 미쳤습니다.액션씬이나, 스토리만 보면 솔직히 5점인데. 연출 미쳤고, 캐릭터가 너무 다들 매력적이라 ㅠㅠ ",8
블랙 위도우,넘 재밌었음. 모두가 봤으면 좋겠습니다. 이번 편을 통해 마블 전편을 봐볼까합니다 ,10
콰이어트 플레이스 2,"1,2편 몰아서 봄.  결론은 지루하고 허무함.기대 많이 했는데 어차피 보기 시작했으니 끝까지 보자하고 겨우 봄. ",2
더 시크릿,가해자이자 피해자 용서 받을 수 있는가?? ,6
모가디슈,굿 ,10
커튼콜,감독 프로필 없내 이거찍고 본인도 창피햇나 ㅋㅋ ,1
모가디슈,괜찮은 영화에 북한 때려넣기 좌빨영화 ,8
호스트: 접속금지,50분이라고 돈아깝다는거지새기들많네 ,2
블랙 위도우,재밌어요 ,8
정글 크루즈,초5 딸과 함께 봤는데 무척 재미있었다고 한다. 내 생각도 마찬가지다. 가족과 함께 볼 영화로서 이 정도면 괜찮다고 본다. ,8
그린 랜턴: 반지의 선택,나름 재밌게 봄~라이언 레이놀즈 귀여워~누가 뭐래도~ ,10
나비 효과,이 영화를 10대에 보지 않은 것은 행운이다. ,9
모가디슈,재밌게 보다가 막판에 총 그렇게 맞고도 다들 멀쩡한 억지액션 보고 좀 어이없긴했음 90년대 소말리아 묘사는 진짜 리얼하긴 함 ,8
랑종,저는 매우 좋았어요. 관객으로 하여금 계속 의심하게 하는게 재미있었어요. 그리고 신은 무엇인지 인간의 위선에 대하여 생각할 수 있게 합니다. ,10
매그니피센트 7,배우들의 연기가 좋았습니다. ,10
봄날은 간다,누구나 그였었고 그녀였다. ,10
8월의 크리스마스,두범다시 안나올 영화먹막함에 말이안나온다 ,10
국가부도의 날,이 영화는 편향 왜곡이 심하다 그럼 어음남발하는 잘못된 경제구조를 유지하는게 옳았나? imf를 통한 구조조정은 결국 기형적인 경제구조를 개혁하기위한 장기적인 선택이었다 imf가 싫다고 디폴트를 말하는 주인공에게 공감가야할 이유가? 관객의 수준을 얕보는 영화 ,3
케이크메이커,집에서는 신발벗고 들어가라 좀ㅋ ,10
낙원의 밤,킬링타임용 영화.감성적이고 유머코드가있어 괜찮았다. ,8
라붐,소피마르소 부모님씬이 더 재미있었음 노팅힐 보디가드처럼 명장면 기대하며 보기엔부족함이 느껴짐 마지막에 눈뽕때문에 시력 떨어짐 ,7
더 수어사이드 스쿼드,이런 단순하게 때려부시는 영화 너무 좋아 ㅠㅠㅠ 그안에 작은 귀여움과 감동 ㅎㅎ 취저임....마지막엔 옛날 우리나라 망한 영화중 하이그래같은 그런 느낌이 들었지만 ㅋㅋ ,10
너의 결혼식,환승희 개 나쁨 개빡쳐버려 ,8
신세계,"경찰이 나중에 조직의 보스가 되는 과정. 잔인한 장면도 있지만,이정도면 한국영화 탑10에 들 정도. 액션 영화 좋아한다면 반드시 보아야할것. 황정민의 연기 베리 굳. 이정재는 부드러운 이미지로 이런 영화와는 다소 어울리지 않을듯.. ",10
모가디슈,실화를 아주 잘 그려낸 영화 남과북은 결국 하나다. ,10
블랙머니,유치함의 극치에 충분히 예측할수 있는 뻔한 스토리전개... 시간아까움 ,2
CCTV,시작부터 가을인데 12월 31이라는건 머임?? ,6
모가디슈,태준기....♡♡♡ ,10
폼포코 너구리 대작전,동물멸종위기온것도 인간때문일수도 ,10
블랙 위도우,너무 오랜만에 재미있는 마블영화를 봤습니다. ,10
그곳에서만 빛난다,흡입력이 높은 영화 였고 주인공 3인방 모두 매력적. 해피엔딩으로 해석하고 싶다 ,9
조이,"몇몇 장면은 괜찮은데, 이야기 전개가 약간... ",7
더 수어사이드 스쿼드,우리가 상상하는 멋진 모습이 아닌 정신나가보이고 어중간한데도 어쨌든 히어로물이다 보니 꽤 볼만하다. 그냥 생각없이 액션에만 몰입하고 싶다면 추천한다. ,7
혼자 사는 사람들,주인공이 매번 장초를 버리는것에 대하여 아무리 연기자가 비흡연자라고는 하지만 눈을 찌푸릴수밖에 없었다 ,7
러브레터,"몇번을 보는지...내 생에 최고의 멜로영화영상미,ost 모두 너무 아름답고 황홀하다. 생각날때마다 꺼내보는 영화. ",10
자이언트,진짜 쿨타임 돌때마다 보는 드라마. ost도 레전드고 전부 하나하나 빠질게 없는 갓드라마 ,10
퍼펙트맨,언터처블 고대로 따라했을 줄 알았는데 틀만 잡고 재밌게 풀었네 킬링타임으론 손색이 없다. ,8
원더 우먼 1984,몰입도가 너무 강했다. 2시간동안 갤가돗 얼굴에만 빠져드는 영화 ,3
다크 나이트,굿  조커가 너무 징그러워 ,10
모가디슈,공석에선 함께하지못하는 슬픔 ,10
더 문,이제라도 알게되어서 좋은 영화 ,8
턴: 더 스트릿,연기를 너무 너무 잘하시네요 이 영화 꼭 보시길 바랍니다 클레멘타인 영화를 잇는 영화입니다 ,10
더 수어사이드 스쿼드,1편만큼 쓰레기네졸라재미없네 ,4
미드나잇 인 파리,정말 최고임... 꼭 봐야함 이건 걸작임 ,10
울고 싶은 나는 고양이 가면을 쓴다,1시간 44분 이라는 시간이 이렇게 빨리 가는시간인지 몰랐습니다.. ,10
존 윅 3: 파라벨룸,존윅은 1.2 더 재밌다.. ,6
블러드 레드 스카이,아들역은 감독 아들을 데려다 찍은거냐? 연기가 너무하잖아 ,1
걸캅스,꼴깝스 꼴깝스 꼴깝쓰 꼴깝쓰 ,2
너의 췌장을 먹고 싶어,원작에선 남주가 동글동글하고 키 작고 귀여웠다면 애니에선 남주가 뭔가 원작하고 달랐지만 감정이입하는데엔 지장이 없었습니다확실히 책(원작)으로 보는게 훨씬 재밌던거같습니다 ,10
모가디슈,쫄보라 총 탕탕 소리랑 전시상황들이 너무 기빨렸지만 그래도 재밌게 잘 봐써여 ,10
비밀,으… 심각하네… 뭔 내용이 이러냥 ,2
드래곤 길들이기 3,"1,2,3 시리즈 전부 이렇게 완벽할 수가 있을까 21세기 최고 명작  요즘같은 시기에 인기가 많으면 항상 딴길로 빠지기 마련인데 이 영화는 정말끝까지 완벽하게 관객들을 감동시켰다 ",10
드래곤 길들이기 3,"1,2,3 시리즈 전부 이렇게 완벽할 수가 있을까 21세기 최고 명작  요즘같은 시기에 인기가 많으면 항상 딴길로 빠지기 마련인데 이 영화는 정말끝까지 완벽하게 관객들을 감동시켰다 ",10
아수라,https://youtu.be/9CtXkCcgyxI ,1
반도,이거 개꿀잼인데 왜 다들 별로라함? 서대위한테 반했다 ,10
모가디슈,애매..하다.. 이 감독님 영화가 다 그럼.. 보는 도중엔 그냥저냥 재밌게 보는데 다 보고 나면 남는게 없음 액션씬은 좋았으나 그것만 좋았던 것 같은 영화.. 그냥 잘 만들어진 킬링타임용? 딱 그정도인 것 같다. 그리고 이건 다른 소리인데 북한말 고증이 너무 안되어있어서 몰입이 좀... 깨짐... 그냥 사투리쓰는것같음 ,6
그린 나이트,졸림 난해함 영상미있다지만 그냥그럼 ,4
셔터 아일랜드,그동안 영화를 너무 많이 봤나보다 초반 30분 부터 반전이 예측돼서 재밌기는 했는데 흥미롭지는 않았다 그만큼 이 영화와 소설이 지금 탄생하는 수많은 비슷한 플롯의 대중매체의 원작격이라는 거겠지 ,8
천공의 성 라퓨타,땅에 뿌리내려 바람과 함께 살아가자 ,10
마담 뺑덕,난민전문가 압둘라하 부 바크르 알바그다디 정우성의 파워깔작 뒷치기 ,4
미드나잇 선,"이걸 왜 이제 봤나 싶네요 , 마지막에 케이티가 부른 노래가 라디오에서 나올때 너무 슬퍼요ㅜㅜ ",10
그린 존,소재 내용 연기 10점 드립니다 ,10
모가디슈,여운이 오래 가네요 구교환 배우 다시 보러 2차 관람 예정입니다 ,10
트와일라잇,와 진짜 너무 좋아 제발 이런 거 또 내주세요 ,10
